ID;ias_user_id;email;user_name;display_name;first_name;last_name;department;job_title;cost_center;company_code;location;status;last_login_time;failed_login_count;mfa_enabled;provisioned_date;employee_id;employment_status;is_active;created_at;created_by;modified_at;modified_by
550e8400-e29b-41d4-a716-446655445101;P000001;security.admin@airline.com;sec.admin;Security Administrator;John;Smith;IT Security;Security Administrator;CC1000;1000;Head Office;ACTIVE;2026-01-19T08:30:00Z;0;true;2024-01-15T00:00:00Z;EMP001;ACTIVE;true;2024-01-15T00:00:00Z;SYSTEM;2026-01-19T08:30:00Z;SYSTEM
550e8400-e29b-41d4-a716-446655445102;P000002;finance.controller@airline.com;fin.controller;Finance Controller;Sarah;Johnson;Finance;Finance Controller;CC2000;1000;Head Office;ACTIVE;2026-01-19T09:15:00Z;0;true;2024-02-01T00:00:00Z;EMP002;ACTIVE;true;2024-02-01T00:00:00Z;SYSTEM;2026-01-19T09:15:00Z;SYSTEM
550e8400-e29b-41d4-a716-446655445103;P000003;ops.manager@airline.com;ops.manager;Operations Manager;Michael;Williams;Operations;Operations Manager;CC3000;1000;Hub Airport;ACTIVE;2026-01-19T07:45:00Z;0;true;2024-01-20T00:00:00Z;EMP003;ACTIVE;true;2024-01-20T00:00:00Z;SYSTEM;2026-01-19T07:45:00Z;SYSTEM
550e8400-e29b-41d4-a716-446655445104;P000004;fuel.planner@airline.com;fuel.planner;Fuel Planner;Emily;Brown;Fuel Planning;Fuel Planning Manager;CC4000;1000;Head Office;ACTIVE;2026-01-19T10:00:00Z;0;true;2024-03-01T00:00:00Z;EMP004;ACTIVE;true;2024-03-01T00:00:00Z;SYSTEM;2026-01-19T10:00:00Z;SYSTEM
550e8400-e29b-41d4-a716-446655445105;P000005;station.coord@airline.com;station.coord;Station Coordinator;David;Davis;Operations;Station Coordinator;CC3001;1000;Hub Airport;ACTIVE;2026-01-19T06:30:00Z;0;false;2024-04-15T00:00:00Z;EMP005;ACTIVE;true;2024-04-15T00:00:00Z;SYSTEM;2026-01-19T06:30:00Z;SYSTEM
550e8400-e29b-41d4-a716-446655445106;P000006;procurement@airline.com;procurement;Procurement Specialist;Jessica;Miller;Procurement;Procurement Specialist;CC5000;1000;Head Office;ACTIVE;2026-01-18T16:00:00Z;0;true;2024-05-01T00:00:00Z;EMP006;ACTIVE;true;2024-05-01T00:00:00Z;SYSTEM;2026-01-18T16:00:00Z;SYSTEM
550e8400-e29b-41d4-a716-446655445107;P000007;internal.audit@airline.com;int.auditor;Internal Auditor;Robert;Garcia;Internal Audit;Senior Auditor;CC6000;1000;Head Office;ACTIVE;2026-01-19T11:00:00Z;0;true;2024-06-01T00:00:00Z;EMP007;ACTIVE;true;2024-06-01T00:00:00Z;SYSTEM;2026-01-19T11:00:00Z;SYSTEM
550e8400-e29b-41d4-a716-446655445108;P000008;terminated.user@airline.com;term.user;Terminated User;James;Wilson;Operations;Former Coordinator;CC3000;1000;Hub Airport;INACTIVE;2025-12-15T10:00:00Z;0;false;2024-01-01T00:00:00Z;EMP008;TERMINATED;false;2024-01-01T00:00:00Z;SYSTEM;2025-12-31T00:00:00Z;security.admin@airline.com
550e8400-e29b-41d4-a716-446655445109;P000009;new.hire@airline.com;new.hire;New Hire;Amanda;Taylor;Finance;Accounts Payable Clerk;CC2001;1000;Head Office;PENDING;;;;;2026-01-15T00:00:00Z;EMP009;ACTIVE;true;2026-01-15T00:00:00Z;SYSTEM;2026-01-15T00:00:00Z;SYSTEM
550e8400-e29b-41d4-a716-446655445110;P000010;locked.user@airline.com;locked.user;Locked User;Christopher;Anderson;IT;IT Support;CC1001;1000;Head Office;LOCKED;2026-01-18T14:00:00Z;5;false;2024-07-01T00:00:00Z;EMP010;ACTIVE;true;2024-07-01T00:00:00Z;SYSTEM;2026-01-18T14:30:00Z;SYSTEM
