ID;invoice_ID;line_number;product_ID;description;po_number;po_item;quantity;uom_code;unit_price;net_amount;tax_code;tax_amount;delivery_ID;fuel_order_ID;ticket_number;ticket_ID;resolved_po_number;resolved_gr_number;resolution_source;cost_center;gl_account;line_match_status;price_variance_pct;qty_variance_pct
550e8400-e29b-41d4-a716-44665544A211;550e8400-e29b-41d4-a716-44665544A201;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 Fuel Delivery YYZ AC601;4500100002;00010;2180.000;KG;0.8500;1870.00;V1;224.40;a7b8c9d0-7777-4000-8000-00000000A003;f6a7b8c9-6666-4000-8000-00000000A007;;;;;;CC3000;400000;MATCHED;0.00;0.00
550e8400-e29b-41d4-a716-44665544A212;550e8400-e29b-41d4-a716-44665544A202;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 Fuel Delivery LHR AC102;4500100001;00010;79800.000;KG;0.8200;65436.00;V1;7852.32;a7b8c9d0-7777-4000-8000-00000000A002;f6a7b8c9-6666-4000-8000-00000000A006;;;;;;CC3000;400000;PARTIAL_MATCH;0.00;-0.25
550e8400-e29b-41d4-a716-44665544A213;550e8400-e29b-41d4-a716-44665544A203;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 Fuel Delivery CDG AC302;;;48500.000;KG;0.7800;37830.00;V1;7186.70;;;;;;;;CC3000;400000;;0.00;0.00
6ca3b4c5-cccc-4000-8000-000000006001;5bf2a3b4-bbbb-4000-8000-000000006001;1;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-03;4500001234;00010;20000.00;KG;0.8500;17000.00;;;17b8c9d0-7777-4000-8000-000000006003;f6a7b8c9-6666-4000-8000-000000006005;;;;;;;;UNMATCHED;;
6ca3b4c5-cccc-4000-8000-000000006002;5bf2a3b4-bbbb-4000-8000-000000006001;2;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-03;4500001234;00010;20000.00;KG;0.8500;17000.00;;;17b8c9d0-7777-4000-8000-000000006003;f6a7b8c9-6666-4000-8000-000000006005;;;;;;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000001;21a00004-0000-4000-8000-000000000001;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-14;4500210001;00010;10030.000;KG;0.8500;8525.50;;0.00;;;WFS-YYZ-2026041401;;;;;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000002;21a00004-0000-4000-8000-000000000001;20;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-14;4500210002;00010;10100.000;KG;0.8500;8585.00;;0.00;;;WFS-YYZ-2026041402;;;;;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000003;21a00004-0000-4000-8000-000000000001;30;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-14;4500210003;00010;10300.000;KG;0.8500;8755.00;;0.00;;;WFS-YYZ-2026041403;;;;;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000004;21a00004-0000-4000-8000-000000000001;40;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-14;4500210004;00010;10800.000;KG;0.8500;9180.00;;0.00;;;WFS-YYZ-2026041404;;;;;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000005;21a00004-0000-4000-8000-000000000002;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ;;;10000.000;KG;0.8500;8500.00;;0.00;;;WFS-YYZ-NOSUCH-9999;;;;;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000006;21a00004-0000-4000-8000-000000000002;20;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ;;;10000.000;KG;0.8500;8500.00;;0.00;;;WFS-YYZ-2026041405;;;;;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000007;21a00004-0000-4000-8000-000000000002;30;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ;;;10000.000;KG;0.8500;8500.00;;0.00;;;WFS-YYZ-2026041406;;;;;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000008;21a00004-0000-4000-8000-000000000003;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-14;4500210008;00010;10000.000;KG;0.8500;8500.00;;0.00;;;WFS-YYZ-2026041408;;;;;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000009;21a00004-0000-4000-8000-000000000003;20;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-14;4500210008;00010;10000.000;KG;0.8500;8500.00;;0.00;;;WFS-YYZ-2026041408;;;;;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000010;21a00004-0000-4000-8000-000000000004;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-14;4500210009;00010;10000.000;KG;0.8500;8500.00;;0.00;;;WFS-YYZ-2026041409;;;;;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000011;21a00004-0000-4000-8000-000000000005;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-14;4500999999;00010;10000.000;KG;0.8500;8500.00;;0.00;;;WFS-YYZ-2026041410;;;;;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000012;21a00004-0000-4000-8000-000000000006;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift MNL 2026-04-14;4500210007;00010;10000.000;KG;0.8500;8500.00;;0.00;;;PETRON-MNL-2026041407;;;;;;;UNMATCHED;;
